problem_statement,titleslug,title,tags,num_occur
"You have observations of n + m 6-sided dice rolls with each face numbered from 1 to 6. n of the observations went missing, and you only have the observations of m rolls. Fortunately, you have also calculated the average value of the n + m rolls. You are given an integer array rolls of length m where rolls[i] is the value of the ith observation. You are also given the two integers mean and n. Return an array of length n containing the missing observations such that the average value of the n + m rolls is exactly mean. If there are multiple valid answers, return any of them. If no such array exists, return an empty array. The average value of a set of k numbers is the sum of the numbers divided by k. Note that mean is an integer, so the sum of the n + m rolls should be divisible by n + m.  ",find-missing-observations,Find Missing Observations,"Array, Math, Simulation",Amazon
"Design a data structure that follows the constraints of a Least Recently Used (LRU) cache. Implement the LRUCache class:  LRUCache(int capacity) Initialize the LRU cache with positive size capacity. int get(int key) Return the value of the key if the key exists, otherwise return -1. void put(int key, int value) Update the value of the key if the key exists. Otherwise, add the key-value pair to the cache. If the number of keys exceeds the capacity from this operation, evict the least recently used key.  The functions get and put must each run in O(1) average time complexity.  ",lru-cache,LRU Cache,"Hash Table, Linked List, Design, Doubly-Linked List",52
There is a function signFunc(x) that returns:  1 if x is positive. -1 if x is negative. 0 if x is equal to 0.  You are given an integer array nums. Let product be the product of all values in the array nums. Return signFunc(product).  ,sign-of-the-product-of-an-array,Sign of the Product of an Array,"Array, Math",45
"Given an m x n 2D binary grid grid which represents a map of '1's (land) and '0's (water), return the number of islands. An island is surrounded by water and is formed by connecting adjacent lands horizontally or vertically. You may assume all four edges of the grid are all surrounded by water.  ",number-of-islands,Number of Islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix",42
"Given an array of integers nums and an integer target, return indices of the two numbers such that they add up to target. You may assume that each input would have exactly one solution, and you may not use the same element twice. You can return the answer in any order.  ",two-sum,Two Sum,"Array, Hash Table",39
"Given an input string s, reverse the order of the words. A word is defined as a sequence of non-space characters. The words in s will be separated by at least one space. Return a string of the words in reverse order concatenated by a single space. Note that s may contain leading or trailing spaces or multiple spaces between two words. The returned string should only have a single space separating the words. Do not include any extra spaces.  ",reverse-words-in-a-string,Reverse Words in a String,"Two Pointers, String",34
"Given an array of strings strs, group the anagrams together. You can return the answer in any order. An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.  ",group-anagrams,Group Anagrams,"Array, Hash Table, String, Sorting",29
"Given a string s, find the length of the longest substring without repeating characters.  ",longest-substring-without-repeating-characters,Longest Substring Without Repeating Characters,"Hash Table, String, Sliding Window",29
"Given an m x n matrix, return all elements of the matrix in spiral order.  ",spiral-matrix,Spiral Matrix,"Array, Matrix, Simulation",26
"There is an integer array nums sorted in ascending order (with distinct values). Prior to being passed to your function, nums is possibly rotated at an unknown pivot index k (1 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,5,6,7] might be rotated at pivot index 3 and become [4,5,6,7,0,1,2]. Given the array nums after the possible rotation and an integer target, return the index of target if it is in nums, or -1 if it is not in nums. You must write an algorithm with O(log n) runtime complexity.  ",search-in-rotated-sorted-array,Search in Rotated Sorted Array,"Array, Binary Search",24
"Given an integer n, return any array containing n unique integers such that they add up to 0.  ",find-n-unique-integers-sum-up-to-zero,Find N Unique Integers Sum up to Zero,"Array, Math",22
"Given a string s containing just the characters '(', ')', '{', '}', '[' and ']', determine if the input string is valid. An input string is valid if:  Open brackets must be closed by the same type of brackets. Open brackets must be closed in the correct order. Every close bracket has a corresponding open bracket of the same type.   ",valid-parentheses,Valid Parentheses,"String, Stack",22
"Serialization is the process of converting a data structure or object into a sequence of bits so that it can be stored in a file or memory buffer, or transmitted across a network connection link to be reconstructed later in the same or another computer environment. Design an algorithm to serialize and deserialize a binary tree. There is no restriction on how your serialization/deserialization algorithm should work. You just need to ensure that a binary tree can be serialized to a string and this string can be deserialized to the original tree structure. Clarification: The input/output format is the same as how LeetCode serializes a binary tree. You do not necessarily need to follow this format, so please be creative and come up with different approaches yourself.  ",serialize-and-deserialize-binary-tree,Serialize and Deserialize Binary Tree,"String, Tree, Depth-First Search, Breadth-First Search, Design, Binary Tree",20
"Given a string containing digits from 2-9 inclusive, return all possible letter combinations that the number could represent. Return the answer in any order. A mapping of digits to letters (just like on the telephone buttons) is given below. Note that 1 does not map to any letters.   ",letter-combinations-of-a-phone-number,Letter Combinations of a Phone Number,"Hash Table, String, Backtracking",20
"Given an integer array nums, return all the triplets [nums[i], nums[j], nums[k]] such that i != j, i != k, and j != k, and nums[i] + nums[j] + nums[k] == 0. Notice that the solution set must not contain duplicate triplets.  ",3sum,3Sum,"Array, Two Pointers, Sorting",20
"Given a string s, return the longest palindromic substring in s.  ",longest-palindromic-substring,Longest Palindromic Substring,"String, Dynamic Programming",18
" A cinema has n rows of seats, numbered from 1 to n and there are ten seats in each row, labelled from 1 to 10 as shown in the figure above. Given the array reservedSeats containing the numbers of seats already reserved, for example, reservedSeats[i] = [3,8] means the seat located in row 3 and labelled with 8 is already reserved. Return the maximum number of four-person groups you can assign on the cinema seats. A four-person group occupies four adjacent seats in one single row. Seats across an aisle (such as [3,3] and [3,4]) are not considered to be adjacent, but there is an exceptional case on which an aisle split a four-person group, in that case, the aisle split a four-person group in the middle, which means to have two people on each side.  ",cinema-seat-allocation,Cinema Seat Allocation,"Array, Hash Table, Greedy, Bit Manipulation",17
"You are given an array of k linked-lists lists, each linked-list is sorted in ascending order. Merge all the linked-lists into one sorted linked-list and return it.  ",merge-k-sorted-lists,Merge k Sorted Lists,"Linked List, Divide and Conquer, Heap (Priority Queue), Merge Sort",17
"You are given two non-empty linked lists representing two non-negative integers. The digits are stored in reverse order, and each of their nodes contains a single digit. Add the two numbers and return the sum as a linked list. You may assume the two numbers do not contain any leading zero, except the number 0 itself.  ",add-two-numbers,Add Two Numbers,"Linked List, Math, Recursion",17
"Given an m x n grid of characters board and a string word, return true if word exists in the grid. The word can be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once.  ",word-search,Word Search,"Array, Backtracking, Matrix",16
"Given an unsorted integer array nums, return the smallest missing positive integer. You must implement an algorithm that runs in O(n) time and uses constant extra space.  ",first-missing-positive,First Missing Positive,"Array, Hash Table",16
"Implement the myAtoi(string s) function, which converts a string to a 32-bit signed integer (similar to C/C++'s atoi function). The algorithm for myAtoi(string s) is as follows:  Read in and ignore any leading whitespace. Check if the next character (if not already at the end of the string) is '-' or '+'. Read this character in if it is either. This determines if the final result is negative or positive respectively. Assume the result is positive if neither is present. Read in next the characters until the next non-digit character or the end of the input is reached. The rest of the string is ignored. Convert these digits into an integer (i.e. ""123"" -> 123, ""0032"" -> 32). If no digits were read, then the integer is 0. Change the sign as necessary (from step 2). If the integer is out of the 32-bit signed integer range [-231, 231 - 1], then clamp the integer so that it remains in the range. Specifically, integers less than -231 should be clamped to -231, and integers greater than 231 - 1 should be clamped to 231 - 1. Return the integer as the final result.  Note:  Only the space character ' ' is considered a whitespace character. Do not ignore any characters other than the leading whitespace or the rest of the string after the digits.   ",string-to-integer-atoi,String to Integer (atoi),String,16
"Given an integer array nums, return an array answer such that answer[i] is equal to the product of all the elements of nums except nums[i]. The product of any prefix or suffix of nums is guaranteed to fit in a 32-bit integer. You must write an algorithm that runs in O(n) time and without using the division operation.  ",product-of-array-except-self,Product of Array Except Self,"Array, Prefix Sum",15
"Given an array of intervals where intervals[i] = [starti, endi], merge all overlapping intervals, and return an array of the non-overlapping intervals that cover all the intervals in the input.  ",merge-intervals,Merge Intervals,"Array, Sorting",15
"Given an integer array nums, find the subarray with the largest sum, and return its sum.  ",maximum-subarray,Maximum Subarray,"Array, Divide and Conquer, Dynamic Programming",15
"Given two sorted arrays nums1 and nums2 of size m and n respectively, return the median of the two sorted arrays. The overall run time complexity should be O(log (m+n)).  ",median-of-two-sorted-arrays,Median of Two Sorted Arrays,"Array, Binary Search, Divide and Conquer",15
"Given an encoded string, return its decoded string. The encoding rule is: k[encoded_string], where the encoded_string inside the square brackets is being repeated exactly k times. Note that k is guaranteed to be a positive integer. You may assume that the input string is always valid; there are no extra white spaces, square brackets are well-formed, etc. Furthermore, you may assume that the original data does not contain any digits and that digits are only for those repeat numbers, k. For example, there will not be input like 3a or 2[4]. The test cases are generated so that the length of the output will never exceed 105.  ",decode-string,Decode String,"String, Stack, Recursion",14
"You are given an integer array coins representing coins of different denominations and an integer amount representing a total amount of money. Return the fewest number of coins that you need to make up that amount. If that amount of money cannot be made up by any combination of the coins, return -1. You may assume that you have an infinite number of each kind of coin.  ",coin-change,Coin Change,"Array, Dynamic Programming, Breadth-First Search",14
"You are given an array prices where prices[i] is the price of a given stock on the ith day. You want to maximize your profit by choosing a single day to buy one stock and choosing a different day in the future to sell that stock. Return the maximum profit you can achieve from this transaction. If you cannot achieve any profit, return 0.  ",best-time-to-buy-and-sell-stock,Best Time to Buy and Sell Stock,"Array, Dynamic Programming",14
"Given an input string (s) and a pattern (p), implement wildcard pattern matching with support for '?' and '*' where:  '?' Matches any single character. '*' Matches any sequence of characters (including the empty sequence).  The matching should cover the entire input string (not partial).  ",wildcard-matching,Wildcard Matching,"String, Dynamic Programming, Greedy, Recursion",14
"Given an array nums containing n distinct numbers in the range [0, n], return the only number in the range that is missing from the array.  ",missing-number,Missing Number,"Array, Hash Table, Math, Binary Search, Bit Manipulation, Sorting",13
"Given the root of a binary tree, return the zigzag level order traversal of its nodes' values. (i.e., from left to right, then right to left for the next level and alternate between).  ",binary-tree-zigzag-level-order-traversal,Binary Tree Zigzag Level Order Traversal,"Tree, Breadth-First Search, Binary Tree",13
"Given the head of a linked list, reverse the nodes of the list k at a time, and return the modified list. k is a positive integer and is less than or equal to the length of the linked list. If the number of nodes is not a multiple of k then left-out nodes, in the end, should remain as it is. You may not alter the values in the list's nodes, only nodes themselves may be changed.  ",reverse-nodes-in-k-group,Reverse Nodes in k-Group,"Linked List, Recursion",13
"Given n pairs of parentheses, write a function to generate all combinations of well-formed parentheses.  ",generate-parentheses,Generate Parentheses,"String, Dynamic Programming, Backtracking",13
You are given the heads of two sorted linked lists list1 and list2. Merge the two lists in a one sorted list. The list should be made by splicing together the nodes of the first two lists. Return the head of the merged linked list.  ,merge-two-sorted-lists,Merge Two Sorted Lists,"Linked List, Recursion",13
"You are given an m x n grid where each cell can have one of three values:  0 representing an empty cell, 1 representing a fresh orange, or 2 representing a rotten orange.  Every minute, any fresh orange that is 4-directionally adjacent to a rotten orange becomes rotten. Return the minimum number of minutes that must elapse until no cell has a fresh orange. If this is impossible, return -1.  ",rotting-oranges,Rotting Oranges,"Array, Breadth-First Search, Matrix",12
"Implement the RandomizedSet class:  RandomizedSet() Initializes the RandomizedSet object. bool insert(int val) Inserts an item val into the set if not present. Returns true if the item was not present, false otherwise. bool remove(int val) Removes an item val from the set if present. Returns true if the item was present, false otherwise. int getRandom() Returns a random element from the current set of elements (it's guaranteed that at least one element exists when this method is called). Each element must have the same probability of being returned.  You must implement the functions of the class such that each function works in average O(1) time complexity.  ",insert-delete-getrandom-o1,Insert Delete GetRandom O(1),"Array, Hash Table, Math, Design, Randomized",12
"Given an integer array nums and an integer k, return the k most frequent elements. You may return the answer in any order.  ",top-k-frequent-elements,Top K Frequent Elements,"Array, Hash Table, Divide and Conquer, Sorting, Heap (Priority Queue), Bucket Sort, Counting, Quickselect",12
"Given an integer array nums and an integer k, return the kth largest element in the array. Note that it is the kth largest element in the sorted order, not the kth distinct element. You must solve it in O(n) time complexity.  ",kth-largest-element-in-an-array,Kth Largest Element in an Array,"Array, Divide and Conquer, Sorting, Heap (Priority Queue), Quickselect",12
"A linked list of length n is given such that each node contains an additional random pointer, which could point to any node in the list, or null. Construct a deep copy of the list. The deep copy should consist of exactly n brand new nodes, where each new node has its value set to the value of its corresponding original node. Both the next and random pointer of the new nodes should point to new nodes in the copied list such that the pointers in the original list and copied list represent the same list state. None of the pointers in the new list should point to nodes in the original list. For example, if there are two nodes X and Y in the original list, where X.random --> Y, then for the corresponding two nodes x and y in the copied list, x.random --> y. Return the head of the copied linked list. The linked list is represented in the input/output as a list of n nodes. Each node is represented as a pair of [val, random_index] where:  val: an integer representing Node.val random_index: the index of the node (range from 0 to n-1) that the random pointer points to, or null if it does not point to any node.  Your code will only be given the head of the original linked list.  ",copy-list-with-random-pointer,Copy List with Random Pointer,"Hash Table, Linked List",12
"Given two non-negative integers num1 and num2 represented as strings, return the product of num1 and num2, also represented as a string. Note: You must not use any built-in BigInteger library or convert the inputs to integer directly.  ",multiply-strings,Multiply Strings,"Math, String, Simulation",12
"Given a binary tree root, a node X in the tree is named good if in the path from root to X there are no nodes with a value greater than X. Return the number of good nodes in the binary tree.  ",count-good-nodes-in-binary-tree,Count Good Nodes in Binary Tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree",11
"Design and implement a data structure for a Least Frequently Used (LFU) cache. Implement the LFUCache class:  LFUCache(int capacity) Initializes the object with the capacity of the data structure. int get(int key) Gets the value of the key if the key exists in the cache. Otherwise, returns -1. void put(int key, int value) Update the value of the key if present, or inserts the key if not already present. When the cache reaches its capacity, it should invalidate and remove the least frequently used key before inserting a new item. For this problem, when there is a tie (i.e., two or more keys with the same frequency), the least recently used key would be invalidated.  To determine the least frequently used key, a use counter is maintained for each key in the cache. The key with the smallest use counter is the least frequently used key. When a key is first inserted into the cache, its use counter is set to 1 (due to the put operation). The use counter for a key in the cache is incremented either a get or put operation is called on it. The functions get and put must each run in O(1) average time complexity.  ",lfu-cache,LFU Cache,"Hash Table, Linked List, Design, Doubly-Linked List",11
"Given two strings s and p, return an array of all the start indices of p's anagrams in s. You may return the answer in any order. An Anagram is a word or phrase formed by rearranging the letters of a different word or phrase, typically using all the original letters exactly once.  ",find-all-anagrams-in-a-string,Find All Anagrams in a String,"Hash Table, String, Sliding Window",11
"Given an array of integers nums containing n + 1 integers where each integer is in the range [1, n] inclusive. There is only one repeated number in nums, return this repeated number. You must solve the problem without modifying the array nums and uses only constant extra space.  ",find-the-duplicate-number,Find the Duplicate Number,"Array, Two Pointers, Binary Search, Bit Manipulation",11
"Given a string s which represents an expression, evaluate this expression and return its value.  The integer division should truncate toward zero. You may assume that the given expression is always valid. All intermediate results will be in the range of [-231, 231 - 1]. Note: You are not allowed to use any built-in function which evaluates strings as mathematical expressions, such as eval().  ",basic-calculator-ii,Basic Calculator II,"Math, String, Stack",11
"Given an input string s and a pattern p, implement regular expression matching with support for '.' and '*' where:  '.' Matches any single character.​​​​ '*' Matches zero or more of the preceding element.  The matching should cover the entire input string (not partial).  ",regular-expression-matching,Regular Expression Matching,"String, Dynamic Programming, Recursion",11
"Tic-tac-toe is played by two players A and B on a 3 x 3 grid. The rules of Tic-Tac-Toe are:  Players take turns placing characters into empty squares ' '. The first player A always places 'X' characters, while the second player B always places 'O' characters. 'X' and 'O' characters are always placed into empty squares, never on filled ones. The game ends when there are three of the same (non-empty) character filling any row, column, or diagonal. The game also ends if all squares are non-empty. No more moves can be played if the game is over.  Given a 2D integer array moves where moves[i] = [rowi, coli] indicates that the ith move will be played on grid[rowi][coli]. return the winner of the game if it exists (A or B). In case the game ends in a draw return ""Draw"". If there are still movements to play return ""Pending"". You can assume that moves is valid (i.e., it follows the rules of Tic-Tac-Toe), the grid is initially empty, and A will play first.  ",find-winner-on-a-tic-tac-toe-game,Find Winner on a Tic Tac Toe Game,"Array, Hash Table, Matrix, Simulation",10
