question,len_2_probab,len_2_topic,ngram_probab,ngram_topic,corr_probab,corr_topic,merged_ngram_probab,merged_ngram_topic
dbms,0.68,dbms_2,0.7,dbms_2,0.73,dbms_3,0.67,dbms_5
database,0.69,dbms_2,0.77,database programming_132,0.79,database programming_181,0.76,database programming_328
mention issue traditional file base systems dbms better choice,0.37,dbms_2,0.38,distributed_17,0.41,distributed_28,0.47,datastorage_355
explain advantage dbms,0.46,dbms_2,0.49,dbms_2,0.51,dbms_3,0.52,scheme_315
explain different languages present dbms,0.43,dbms_2,0.48,language_207,0.51,language_168,0.58,language_232
mean acid properties dbms,0.24,dbms_2,0.27,related data_79,0.27,dbms_3,0.26,physical database design_184
null value database blank space zero,0.46,null_143,0.26,sql psm_155,0.6,null_155,0.68,null_430
super primary candidate foreign key,0.55,key_17,0.67,key_16,0.66,key_17,0.69,foreign key_35
difference primary key unique constraints,0.34,integrity_21,0.48,key_16,0.45,key_17,0.51,primary key_171
mean dbms utility explain rdbms examples,0.42,dbms_2,0.43,dbms_2,0.45,dbms_3,0.44,database programming_328
checkpoint dbms,0.52,log_26,0.75,checkpoint_91,0.49,log_31,0.81,checkpoint_90
database,0.69,dbms_2,0.77,database programming_132,0.79,database programming_181,0.76,database programming_328
mean data model,0.34,modeling_174,0.43,related data_79,0.44,eer_68,0.45,data item_369
checkpoint occur dbms,0.48,log_26,0.71,checkpoint_91,0.46,log_31,0.76,checkpoint_90
difference entity attribute,0.43,multivalued_42,0.62,attribute_161,0.53,multivalued_35,0.6,relation attribute_175
kinds interactions cater dbms,0.44,dbms_2,0.49,object oriented_40,0.49,object oriented_64,0.48,dbms_5
understand query optimization,0.58,optimization_6,0.74,query_14,0.73,query_1,0.59,plan_0
consider null value blank space zero,0.52,null_143,0.33,condition_180,0.65,null_155,0.75,null_430
understand aggregation atomicity,0.47,atomic_176,0.5,atomic_181,0.52,atomic_179,0.55,atomicity_66
different level abstraction dbms,0.36,schema_16,0.48,database programming_132,0.47,uml_149,0.49,database programming_328
entity relationship model,0.6,modeling_174,0.94,entity relationship_196,0.85,eer_68,0.96,entity relationship model_440
understand term entity entity type entity set dbms,0.35,schema_16,0.46,relationship_4,0.45,relationship_2,0.66,entity_159
mean transparent dbms,0.42,transparency_192,0.5,transparency_208,0.46,transparency_199,0.35,distributed database_23
unary operations relational algebra,0.56,algebra_23,0.76,algebra_18,0.75,algebra_21,0.73,calculus_14
rdbms,0.57,dbms_2,0.58,jdbc_28,0.58,jdbc_37,0.55,sqlj_256
differnt data model,0.37,modeling_174,0.48,related data_79,0.48,eer_68,0.52,data item_369
define relation schema relation,0.56,semantics_90,0.84,relation schema_111,0.83,relation schema_114,0.87,relation schema_76
degree relation,0.51,algebra_23,0.58,algebra_18,0.58,algebra_21,0.62,relation relation_127
relationship,0.77,couple_142,0.81,relation relation_130,0.78,relation_148,0.78,diamond_363
disadvantage file process systems,0.32,transaction_19,0.43,file organization_49,0.42,file organization_67,0.56,filegroup_163
concept database view advantage,0.44,view_30,0.56,view_121,0.55,view_100,0.58,view integration_222
concept database backups recovery strategies,0.3,rollback_155,0.42,database programming_132,0.41,database programming_181,0.51,recovery_164
database schema,0.56,schema_16,0.73,schema_9,0.76,schema_9,0.76,relation schema_76
acid properties briefly,0.31,atomic_176,0.29,isolation_152,0.29,atomic_179,0.36,atomicity_66
data redundancy,0.65,redundancy_183,0.7,redundancy_187,0.7,redundancy_159,0.5,data item_369
database normalization briefly,0.6,normalization_180,0.55,database programming_132,0.53,database programming_181,0.75,normalization_234
transaction log,0.62,log_26,0.76,log_171,0.6,log_31,0.73,log_391
database index briefly,0.52,tree_215,0.61,index_55,0.54,tree_212,0.68,storage indexing_376
database trigger,0.51,trigger_18,0.65,trigger view schema_203,0.63,trigger view schema_203,0.63,trigger_16
database backups,0.35,dbms_2,0.41,database programming_132,0.42,database programming_181,0.64,backup_118
dbms,0.68,dbms_2,0.7,dbms_2,0.73,dbms_3,0.67,dbms_5
primary key,0.59,key_17,0.84,key_16,0.81,key_17,0.88,primary key_171
database management dbms handle data integrity constraints primary key foreign key check constraints ensure data accuracy consistency relational database,0.4,integrity_21,0.54,constraint_20,0.54,constraint_26,0.57,consistency_224
concept transaction isolation level dbms include read uncommitted read commit repeatable read serializable discuss impact data concurrency consistency,0.42,isolation_89,0.5,concurrency_36,0.5,concurrency_44,0.52,concurrency_38
different type join operations available dbms inner join leave join right join join help combine data multiple table base specify criteria,0.33,nested_179,0.48,join_56,0.48,join_56,0.5,merge join_293
role database index dbms factor consider select appropriate index strategy include index type tree hash bitmap index cardinality,0.37,tree_215,0.53,tree_214,0.5,tree_212,0.52,storage indexing_376
process query optimization dbms include step like query parse query rewrite query transformation cost base optimization improve query performance,0.36,optimization_6,0.5,query_14,0.46,query_1,0.44,query tree_61
dbms handle data concurrency manage resource contention multi user environment utilize techniques like lock latch timestamp base concurrency control,0.42,concurrency_40,0.56,concurrency_36,0.56,concurrency_44,0.58,concurrency_38
advantage disadvantage different database storage model file base storage page base storage tablespace base storage term data access efficiency scalability fault tolerance,0.28,storage_125,0.32,physical_71,0.33,file organization_67,0.52,storage file structure_486
concept database normalization different normal form nf nf nf bcnf highlight benefit achieve normalize database schema term data redundancy reduction data consistency,0.35,normalization_180,0.46,bcnf_90,0.45,bcnf_110,0.52,normalization_291
backup recovery strategies implement dbms include backups incremental backups differential backups point time recovery ensure data availability data loss prevention,0.3,dbms_2,0.38,checkpoint_91,0.36,database programming_181,0.47,recovery_164
benefit materialize view database,0.37,view_30,0.47,view_121,0.49,view_100,0.54,view integration_222
role trigger enforce data integrity constraints,0.38,integrity_21,0.57,constraint_20,0.57,constraint_26,0.58,integrity_46
significance database lock concurrency control,0.48,lock_15,0.63,concurrency_36,0.63,concurrency_44,0.65,concurrency_38
acid properties ensure transactional consistency,0.36,isolation_89,0.5,isolation_152,0.53,consistency_214,0.61,consistency_224
