question,len_2_probab,len_2_topic,ngram_probab,ngram_topic,corr_probab,corr_topic,merged_ngram_probab,merged_ngram_topic,,,difference
data redundancy,0.65,redundancy_183,0.7,redundancy_187,0.7,redundancy_159,0.5,data item_369,,,-0.2
query optimization,0.63,optimization_6,0.84,query_14,0.81,query_1,0.65,plan_0,,,-0.19
query optimization,0.63,optimization_6,0.84,query_14,0.81,query_1,0.65,plan_0,,,-0.19
understand query optimization,0.58,optimization_6,0.74,query_14,0.73,query_1,0.59,plan_0,,,-0.15
mean transparent dbms,0.42,transparency_192,0.5,transparency_208,0.46,transparency_199,0.35,distributed database_23,,,-0.15
differences cluster non cluster index database,0.35,cluster_81,0.54,clustering_113,0.4,cluster_86,0.47,cluster_63,,,-0.07
process query optimization dbms include step like query parse query rewrite query transformation cost base optimization improve query performance,0.36,optimization_6,0.5,query_14,0.46,query_1,0.44,query tree_61,,,-0.06
dbms handle query optimization execution plan include techniques like cost base optimization query parse query rewrite plan generation plan cache ensure efficient query process,0.4,optimization_6,0.5,query_14,0.48,query_1,0.44,tuning_294,,,-0.06
process query optimization dbms include step like query parse query rewrite query transformation cost base optimization improve query performance,0.36,optimization_6,0.5,query_14,0.46,query_1,0.44,query tree_61,,,-0.06
differences cluster index non cluster index,0.33,tree_215,0.57,clustering_113,0.39,tree_212,0.51,index_1,,,-0.06
concept query optimization dbms techniques performance improvement,0.36,dbms_2,0.53,query_14,0.5,query_1,0.48,database programming_328,,,-0.05
concept database trigger dbms use automate specific action enforce business rule base predefined condition data modification operations insert update delete,0.32,trigger_18,0.45,trigger view schema_203,0.41,trigger view schema_203,0.41,trigger view_331,,,-0.04
unary operations relational algebra,0.56,algebra_23,0.76,algebra_18,0.75,algebra_21,0.73,calculus_14,,,-0.03
relationship,0.77,couple_142,0.81,relation relation_130,0.78,relation_148,0.78,diamond_363,,,-0.03
transaction log,0.62,log_26,0.76,log_171,0.6,log_31,0.73,log_391,,,-0.03
trigger database work,0.47,trigger_18,0.63,trigger view schema_203,0.61,trigger view schema_203,0.6,trigger_16,,,-0.03
transaction log ensure data durability recoverability database,0.33,log_26,0.47,log_171,0.44,database disk_187,0.44,dbpointer_410,,,-0.03
transaction log ensure data durability recoverability database,0.33,log_26,0.47,log_171,0.44,database disk_187,0.44,dbpointer_410,,,-0.03
dbms,0.68,dbms_2,0.7,dbms_2,0.73,dbms_3,0.67,dbms_5,,,-0.03
rdbms,0.57,dbms_2,0.58,jdbc_28,0.58,jdbc_37,0.55,sqlj_256,,,-0.03
dbms,0.68,dbms_2,0.7,dbms_2,0.73,dbms_3,0.67,dbms_5,,,-0.03
purpose transaction log dbms,0.45,log_26,0.57,log_171,0.53,transaction_20,0.54,log_391,,,-0.03
difference entity attribute,0.43,multivalued_42,0.62,attribute_161,0.53,multivalued_35,0.6,relation attribute_175,,,-0.02
database trigger,0.51,trigger_18,0.65,trigger view schema_203,0.63,trigger view schema_203,0.63,trigger_16,,,-0.02
give table product subscriptions subscription start date end date user write query return true false user subscription date range overlap user,0.25,nested_179,0.34,nested_195,0.34,nested query_184,0.32,query shown figure_313,,,-0.02
concept database partition benefit performance optimization,0.48,partition_73,0.52,partition_64,0.49,partition_75,0.5,partitioning_2,,,-0.02
database trigger work provide example,0.49,trigger_18,0.63,trigger view schema_203,0.61,trigger view schema_203,0.61,trigger_16,,,-0.02
give table product subscriptions subscription start date end date user write query return true false user subscription date range overlap user,0.25,nested_179,0.34,nested_195,0.34,nested query_184,0.32,query shown figure_313,,,-0.02
discuss concept database trigger provide examples,0.44,schema_16,0.57,trigger view schema_203,0.56,trigger view schema_203,0.55,trigger view_331,,,-0.02
database,0.69,dbms_2,0.77,database programming_132,0.79,database programming_181,0.76,database programming_328,,,-0.01
mean acid properties dbms,0.24,dbms_2,0.27,related data_79,0.27,dbms_3,0.26,physical database design_184,,,-0.01
database,0.69,dbms_2,0.77,database programming_132,0.79,database programming_181,0.76,database programming_328,,,-0.01
kinds interactions cater dbms,0.44,dbms_2,0.49,object oriented_40,0.49,object oriented_64,0.48,dbms_5,,,-0.01
role database index dbms factor consider select appropriate index strategy include index type tree hash bitmap index cardinality,0.37,tree_215,0.53,tree_214,0.5,tree_212,0.52,storage indexing_376,,,-0.01
give table transactions products write query return product id product price average transaction price products price greater average transaction price,0.28,nested_179,0.43,query transaction_131,0.41,query transaction_115,0.42,query transaction_371,,,-0.01
concept database index different type index,0.33,tree_215,0.5,tree_214,0.43,tree_212,0.49,storage indexing_376,,,-0.01
dbms enforce referential integrity relational database,0.43,integrity_21,0.63,constraint_20,0.62,constraint_26,0.62,integrity_46,,,-0.01
database partition enhance performance manageability large datasets,0.44,partition_73,0.49,partition_64,0.46,partition_75,0.48,storage indexing_376,,,-0.01
referential integrity role maintain data consistency,0.42,integrity_21,0.62,constraint_20,0.62,constraint_26,0.61,integrity_46,,,-0.01
purpose transaction log dbms ensure durability,0.36,log_26,0.46,log_171,0.41,database disk_187,0.45,log_391,,,-0.01
database partition enhance performance manageability large datasets,0.44,partition_73,0.49,partition_64,0.46,partition_75,0.48,storage indexing_376,,,-0.01
referential integrity role maintain data consistency,0.42,integrity_21,0.62,constraint_20,0.62,constraint_26,0.61,integrity_46,,,-0.01
database mirror use high availability,0.34,replication_33,0.41,distributed_17,0.42,distributed_28,0.4,distributed database_23,,,-0.01
database partition benefit performance optimization,0.52,partition_73,0.57,partition_64,0.55,partition_75,0.56,partitioning_2,,,-0.01
concept database view benefit term security query simplification,0.34,view_30,0.49,trigger view schema_203,0.49,trigger view schema_203,0.49,trigger view_331,,,0
concept database index impact query performance dbms,0.41,tree_215,0.5,tree_214,0.43,tree_212,0.5,storage indexing_376,,,0
database schema define data organization,0.45,schema_16,0.59,schema_9,0.62,schema_9,0.59,ddl_210,,,0
concept database index impact query performance dbms,0.41,tree_215,0.5,tree_214,0.43,tree_212,0.5,storage indexing_376,,,0
purpose store procedures benefit,0.31,dbms_2,0.37,sql psm_155,0.39,uml_149,0.37,scheme_315,,,0
differences horizontal vertical partition database design,0.39,partition_73,0.45,fragmentation_98,0.66,partitioning_208,0.45,partitioning_2,,,0
purpose store procedures benefit,0.31,dbms_2,0.37,sql psm_155,0.39,uml_149,0.37,scheme_315,,,0
role index database type,0.37,role_163,0.46,role_150,0.47,role_172,0.47,storage indexing_376,,,0.01
mean dbms utility explain rdbms examples,0.42,dbms_2,0.43,dbms_2,0.45,dbms_3,0.44,database programming_328,,,0.01
