QID,title,titleSlug,difficulty,acceptanceRate,paidOnly,topicTags,categorySlug
1,Two Sum,two-sum,Easy,49.74231997186102,False,"array,hash-table",algorithms
2,Add Two Numbers,add-two-numbers,Medium,40.40196748746198,False,"linked-list,math,recursion",algorithms
3,Longest Substring Without Repeating Characters,longest-substring-without-repeating-characters,Medium,33.83664003490599,False,"hash-table,string,sliding-window",algorithms
4,Median of Two Sorted Arrays,median-of-two-sorted-arrays,Hard,36.27379696171615,False,"array,binary-search,divide-and-conquer",algorithms
5,Longest Palindromic Substring,longest-palindromic-substring,Medium,32.41476296673025,False,"string,dynamic-programming",algorithms
6,Zigzag Conversion,zigzag-conversion,Medium,44.934453503613916,False,string,algorithms
7,Reverse Integer,reverse-integer,Medium,27.469103547482515,False,math,algorithms
8,String to Integer (atoi),string-to-integer-atoi,Medium,16.620702456517687,False,string,algorithms
9,Palindrome Number,palindrome-number,Easy,53.5782697065734,False,math,algorithms
10,Regular Expression Matching,regular-expression-matching,Hard,28.016196728274817,False,"string,dynamic-programming,recursion",algorithms
11,Container With Most Water,container-with-most-water,Medium,53.99714325208497,False,"array,two-pointers,greedy",algorithms
12,Integer to Roman,integer-to-roman,Medium,62.07189249019128,False,"hash-table,math,string",algorithms
13,Roman to Integer,roman-to-integer,Easy,58.59201414118703,False,"hash-table,math,string",algorithms
14,Longest Common Prefix,longest-common-prefix,Easy,40.88586461555986,False,"string,trie",algorithms
15,3Sum,3sum,Medium,32.61705829455172,False,"array,two-pointers,sorting",algorithms
16,3Sum Closest,3sum-closest,Medium,45.71972836793879,False,"array,two-pointers,sorting",algorithms
17,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,Medium,56.61953584697705,False,"hash-table,string,backtracking",algorithms
18,4Sum,4sum,Medium,35.87669250605241,False,"array,two-pointers,sorting",algorithms
19,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,Medium,41.157065748012755,False,"linked-list,two-pointers",algorithms
20,Valid Parentheses,valid-parentheses,Easy,40.489425326313,False,"string,stack",algorithms
21,Merge Two Sorted Lists,merge-two-sorted-lists,Easy,62.570662133322365,False,"linked-list,recursion",algorithms
22,Generate Parentheses,generate-parentheses,Medium,72.56886826385463,False,"string,dynamic-programming,backtracking",algorithms
23,Merge k Sorted Lists,merge-k-sorted-lists,Hard,49.870880982928746,False,"linked-list,divide-and-conquer,heap-priority-queue,merge-sort",algorithms
24,Swap Nodes in Pairs,swap-nodes-in-pairs,Medium,61.395582015083214,False,"linked-list,recursion",algorithms
25,Reverse Nodes in k-Group,reverse-nodes-in-k-group,Hard,54.74648140885097,False,"linked-list,recursion",algorithms
26,Remove Duplicates from Sorted Array,remove-duplicates-from-sorted-array,Easy,51.62248656439268,False,"array,two-pointers",algorithms
27,Remove Element,remove-element,Easy,53.08835475788251,False,"array,two-pointers",algorithms
28,Find the Index of the First Occurrence in a String,find-the-index-of-the-first-occurrence-in-a-string,Easy,39.16101371902594,False,"two-pointers,string,string-matching",algorithms
29,Divide Two Integers,divide-two-integers,Medium,17.141822242583896,False,"math,bit-manipulation",algorithms
30,Substring with Concatenation of All Words,substring-with-concatenation-of-all-words,Hard,31.23240935833533,False,"hash-table,string,sliding-window",algorithms
31,Next Permutation,next-permutation,Medium,37.60896619284437,False,"array,two-pointers",algorithms
32,Longest Valid Parentheses,longest-valid-parentheses,Hard,32.83213839946591,False,"string,dynamic-programming,stack",algorithms
33,Search in Rotated Sorted Array,search-in-rotated-sorted-array,Medium,39.01309501387574,False,"array,binary-search",algorithms
34,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,Medium,41.91408012512479,False,"array,binary-search",algorithms
35,Search Insert Position,search-insert-position,Easy,43.46931777836602,False,"array,binary-search",algorithms
36,Valid Sudoku,valid-sudoku,Medium,58.13814905770457,False,"array,hash-table,matrix",algorithms
37,Sudoku Solver,sudoku-solver,Hard,57.81008011746306,False,"array,hash-table,backtracking,matrix",algorithms
38,Count and Say,count-and-say,Medium,52.17342094970721,False,string,algorithms
39,Combination Sum,combination-sum,Medium,68.67409713947585,False,"array,backtracking",algorithms
