bucket_topic_number,bucket_topic,book_topic_number,book_topic,score
0,"network, packet, time, link, data, bit, tcp, router, connection, layer",1,Network Models and Protocols,0.269329296
1,"fiber, cable, twisted, twisted pair, modem, pair, copper, adsl, optical, wire",0,Introduction to Computer Networks,0
2,"dns, dns server, domain, query, record, server, edu, hostname, com, authoritative",7,DNS (Domain Name System),0.490630956
3,"mail, mail server, user agent, email, smtp, agent, transfer, folder, mailbox, user",2,Network Topologies and Architectures,0.103543084
4,"cipher, ciphertext, block, encryption, plaintext, key, decryption, block cipher, de, aes",22,Wireless Security,0.223863353
5,"fig, shown fig, fig example, shown, example fig, listed fig, illustrated fig, illustrated, listed, fig shown",0,Introduction to Computer Networks,0
6,"page, browser, web page, web, plug, url, display, plug in, in, html",24,Emerging Trends in Networking,0.27348499
7,"ack, retransmit, duplicate, retransmission, lost, segment, acks, timeout, retransmissions, duplicate acks",14,VLANs (Virtual LANs),0.166133393
8,"isps, isp, tier, access isps, tier isps, regional, provider, global transit, access isp, backbone",10,Network Security and Threats,0.140502039
9,"band, ghz, frequency, spectrum, mhz, frequency band, spread, spread spectrum, ism, ism band",0,Introduction to Computer Networks,0
10,"alice, bob, trudy, message alice, alice bob, message, talking, alice sends, message bob, suppose alice",0,Introduction to Computer Networks,0
11,"telephone, telephone network, telephone company, company, office, bell, end office, call, switched telephone, voice",19,Software-Defined Networking (SDN),0.293820391
12,"sdn, controller, plane, control plane, sdn controller, control, openflow, sdn control, opendaylight, networkcontrol",19,Software-Defined Networking (SDN),0.451053562
13,"agent, foreign, home agent, mobile node, foreign agent, mobile, coa, home, foreign network, node",19,Software-Defined Networking (SDN),0.293820391
14,"copyright, privacy, law, court, dmca, government, copyrighted, people, music, citizen",12,VPN (Virtual Private Network),0.136373025
15,"byte, length, header, field, length field, variable length, field byte, payload, header byte, option",0,Introduction to Computer Networks,0
16,"cache, caching, web cache, cached, proxy, object, web, cached copy, browser, copy",0,Introduction to Computer Networks,0
