bucket_topic_number,bucket_topic,book_topic_number,book_topic,score
0,"process, page, memory, user, thread, file, data, operating, disk, time",0,Introduction to Operating Systems,0.29022219508530916
1,"cache, caching, cached, buffer cache, cache manager, cache line, cache block, page cache, cache file, block cache",15,Distributed File Systems,0.45934610264521214
2,"interrupt, interrupt handler, handler, interrupt vector, vector, interrupt interrupt, interrupt controller, routine, controller, interrupt request",11,I/O Systems and Device Management,0.36204606515595944
3,"window, win, api, window window, version window, microsoft, win api, vista, apis, version",28,System Calls and API,0.2756043043759369
4,"deadlock, deadlocked, deadlock occur, resource deadlock, deadlock detection, resource, detection, occur, deadlock deadlock, deadlock possible",6,Deadlocks and Deadlock Handling,0.3447804622335407
5,"block, block file, free block, file block, disk block, block size, free, indirect block, index block, block block",9,File Systems and Storage Management,0.6182918413544803
6,"driver, device driver, device, driver object, driver device, window driver, device object, wdm, driver device driver, driver run",11,I/O Systems and Device Management,0.6299546571133191
7,"virtualization, virtual machine, machine, virtual, virtualized, hardware, support virtualization, environment, virtualbox, support",22,Virtualization and Hypervisors,0.5481235845513676
8,"security, attack, attacker, vulnerability, defense, exploit, security chap, bug, exploiting, intruder",20,System Security Measures,0.552890618992904
9,"resource, available resource, resource process, release resource, resource available, instance resource, resource type, resource resource, available, number resource",0,Introduction to Operating Systems,0.23217423972412554
10,"boot, partition, boot time, loader, bootstrap, boot loader, bios, booting, boot process, firmware",27,System Boot and Initialization,0.44953284397791227
11,"virus, antivirus, infect, infected, antivirus program, antivirus software, virus virus, program virus, infection, executable",3,Processes and Threads,0.35478207893189223
12,"key, encryption, cryptography, decryption, public key, encryption algorithm, public, cipher, ciphertext, plaintext",19,Security and Protection in Operating Systems,0.32952003862047563
13,"buffer, buffering, copy, copying, kernel buffer, buffer buffer, copy write, user space, function copy, data",1,Operating System Structures and Components,0.29960137403963905
14,"power, battery, energy, power management, consumption, power consumption, power manager, management, battery life, mobile",0,Introduction to Operating Systems,0.35810423321658097
15,"tlb, miss, tlb entry, tlb miss, tlbs, entry, entry tlb, translation, number tlb, hit",0,Introduction to Operating Systems,0.0
16,"password, password file, salt, encrypted password, onetime password, onetime, encrypted, login, etcpasswd, stored password",9,File Systems and Storage Management,0.5328538379175701
17,"nevilleneil, saltzer, ellen, herlihy, kurose, brinchhansen, hruby, zhang, robbins, smith",0,Introduction to Operating Systems,0.0
18,"offset, page number, page table, page, address, virtual address, page directory, page offset, physical address, table",8,Memory Management: Virtual Memory,0.3019408418270311
19,"printer, print, output, printed, spooling, plotter, printing, spooler, daemon, devlp",11,I/O Systems and Device Management,0.09051151628898986
20,"mutex, pthread mutex, pthread, mutex lock, lock, mutex pthread, unlock, lock mutex, mutex unlock, mutexes",4,Process Synchronization,0.37419264922191636
21,"semaphore, sem, semaphore semaphore, value semaphore, semaphore operation, value, semaphore value, wait, wait signal, operation",0,Introduction to Operating Systems,0.0
22,"operating system, operating, system, embedded system, system operating, embedded, system operating system, operating system operating, system work, system vary",28,System Calls and API,0.34010574602247134
23,"raid, raid level, level, drive, level raid, parity, raid level raid, level raid level, array, raid set",12,Mass Storage Structures,0.33196727896266964
24,"overflow, attacker, attack, buffer overflow, return address, aslr, canary, buffer, randomization, code",0,Introduction to Operating Systems,0.0
25,"memory management, management, memory management chap, management chap, memory, management chap memory, chap memory, chap memory management, memory memory, chap",7,Memory Management: Early Systems,0.5894623891555093
26,"problem, solution, solution problem, solved, problem solved, approach, exercise, solution exercise, solve, modify solution exercise",0,Introduction to Operating Systems,0.0
27,"bit, bit bit, bit word, integer, bit count, word, count, bit set, unsigned, bit byte",0,Introduction to Operating Systems,0.0
28,"nfs, nfs protocol, nfs server, network file, nfs version, protocol, file nfs, remote, cifs, remote file",15,Distributed File Systems,0.5850195358362118
29,"producer, consumer, item, buffer, producer consumer, item buffer, count, remove, remove item, consumer process",0,Introduction to Operating Systems,0.3135069244399154
30,"fork, child, exec, process fork, parent, new process, shell, child process, fork process, fork exec",0,Introduction to Operating Systems,0.3135069244399154
31,"tape, tape drive, card, card reader, magnetic tape, magnetic, drive, bluray, reader, line printer",0,Introduction to Operating Systems,0.0
32,"open, open file, opened, close, file opened, open close, file, process open, process open file, file descriptor",9,File Systems and Storage Management,0.6965255493435464
33,"inode, inode number, inodes, file inode, directory, file inode number, number, inode structure, unix inode, usrast",9,File Systems and Storage Management,0.5800696079273684
34,"virtual memory, virtual, memory, memory virtual, memory virtual memory, physical memory, memory management, chapter virtual memory, virtual memory management, management",8,Memory Management: Virtual Memory,0.6284030464698231
35,"quantum, time quantum, time, millisecond, msec, quantum millisecond, quantum expires, quantum process, quantum time, expires",23,Real-Time and Embedded Systems,0.5010203422248117
36,"mobile, io, mobile device, smartphones, tablet, macos, phone, macos io, apple, desktop",11,I/O Systems and Device Management,0.26287658203174036
37,"shared memory, sharedmemory, shared, sharedmemory object, share memory, memory shared, memory, share, cpu private, private",16,Distributed Shared Memory,0.6092075990909198
