Bucket Number,Bucket
-1,"database, data, type, relation, attribute, transaction, department, query"
0,"plan, optimization, cost, optimizer, query, query optimization, estimate, evaluation"
1,"index, secondary index, secondary, search, clustering index, clustering, primary index, field"
2,"partitioning, partition, hash, partitioned, hash join, skew, processor, range partitioning"
3,"bucket, hash, hashing, hash function, bucket address, overflow, hash value, record bucket"
4,"lock, item, data item, request, lock data, lock data item, lock item, locking"
5,"dbms, interface, ibm, application, software, user interface, tool, database"
6,"node, leaf, tree, leaf node, root, entry, pointer, split"
7,"tuples, tuple, number tuples, tuples relation, set tuples, duplicate tuples, tuples tuples, tuple relation"
8,"conceptual, schema, design, conceptual schema, requirement, phase, database design, schema design"
9,"agrawal, srinivasan comp, srinivasan, chakrabarti, silberschatz, chamberlin, jennifer narayan ramesh, franklin wallace jennifer"
10,"join, outer join, outer, natural join, natural, join condition, join operation, condition"
11,"temporal, time, valid, valid time, temporal database, date time, interval, time slot"
12,"spatial, map, geographic, spatial data, geographic data, location, spatial database, road"
13,"aggregate, aggregate function, group, aggregation, count, grouping, function, sum"
14,"calculus, relational calculus, algebra, relational algebra, relational, tuple relational, tuple relational calculus, domain relational calculus"
15,"image, multimedia, video, audio, multimedia database, multimedia source, audio data, clip"
16,"trigger, event, rule, active, action, triggering, active rule, statement level"
17,"schedule, serializable, serializability, serial, serial schedule, conflict, equivalent serial schedule, equivalent serial"
18,"undo, log, log record, undolist, redo, record, undo operation, abort"
19,"encryption, encrypted, public, decryption, key, public key, private key, private"
20,"replication, replica, replicated, subscriber, site, replica data, update, update replica"
21,"materialized, materialized view, view, view maintenance, maintenance, view materialized, index materialized, index materialized view"
22,"bitmap, bitmap index, bit, index, bit bitmap, complement, bitmap value, intersection"
23,"distributed database, distributed, autonomy, federated, heterogeneous, chapter distributed database, chapter distributed, centralized"
24,"bibliographical, bibliographical note, note, reference, note reference, bibliographical note reference, bibliographic, bibliographic note"
25,"deadlock, detection, deadlock detection, prevention, deadlock prevention, deadlock deadlock, wait, waiting"
26,"xml, xml data, xml document, native, document, exchange, native xml, storage xml"
27,"data model, model, object, object database, object oriented, oriented, relational, object relational"
28,"bcnf, decomposition, schema bcnf, relation bcnf, bcnf decomposition, dependency, normal form, normal"
29,"security, label, access control, policy, control, label security, flow, access"
30,"salary, salary instructor, instructor, instructor salary, dept, avg, avg salary, salary salary"
31,"dependency, functional dependency, functional, multivalued dependency, multivalued, dependency functional, dependency functional dependency, set functional"
32,"xsd, xsd element, xml, xml schema, element, type xsd, xsd string, type xsd string"
33,"predicate, datalog, rule, interpretation, prolog, superior, fact, inference mechanism"
34,"privilege, grant, revoke, authorization, granted, account, grant option, grant privilege"
35,"foreign key, foreign, key, primary key, primary, foreignkey, foreignkey constraint, key foreign"
36,"figure, example figure, figure example figure, figure example, example figure example, shown figure, shown, appears figure"
37,"reada, read, readb, writeq, writea, reada writea, readb writeb, writeb"
38,"concurrency, concurrency control, control, control recovery, concurrency control recovery, recovery, concurrency control distributed, control distributed"
39,"transaction processing, processing, transaction, concept transaction, concept, transaction management, transaction processing concept, processing concept"
40,"snapshot, snapshot isolation, isolation, mvcc, postgresql, isolation level, snapshotdata, transaction"
41,"warehouse, data warehouse, data, source, warehouse data, warehouse provide, data warehouse provide, multiple source"
42,"html, javascript, jsp, browser, scripting, code, input, scripting language"
43,"project, employee, employee work, name employee, work project, work, employee work project, retrieve"
44,"popularity, page, pagerank, ranking, link, web page, popularity ranking, spamming"
45,"log, stable storage, stable, log record, output stable, output stable storage, output, logging"
46,"integrity, integrity constraint, constraint, referential integrity, referential, referential integrity constraint, constraint specified, integrity constraint specified"
47,"account, balance, bank, fund, transaction transfer, account balance, transfer, transfer account"
48,"order, sorting, sort, sorted, sort order, order clause, reorder, item"
49,"persistent, persistent object, object, transient, persistent pointer, pointer, object persistent, persistence"
50,"message, messaging, conversation, queue, persistent messaging, persistent, durable, durable queue"
51,"salary, average salary, employee, average, salary employee, salary department, department, employee salary"
52,"subqueries, subquery, nested, nested subqueries, nested query, correlated, nested subquery, outer query"
53,"mining, data mining, pattern, chapter data, data warehousing, warehousing, data warehousing mining, warehousing mining"
54,"advisor, student, instructor student, set advisor, relationship set, relationship set advisor, advisor relationship, instructor"
55,"join order, join, order, access path, join method access, join tree, join method, leftdeep join"
56,"length, byte, fixed length, variablelength, variable length, fixed, length record, length field"
57,"raid, raid level, level, mirroring, disk, raid raid, reliability, redundant"
