bucket_topic_number,bucket_topic,book_topic_number,book_topic,score
0,"database, data, type, relation, attribute, transaction, department, query",3,Querying Relational Databases,0.3882542310999426
1,"plan, optimization, cost, optimizer, query, query optimization, estimate, evaluation",3,Querying Relational Databases,0.6334777949759349
2,"index, secondary index, secondary, search, clustering index, clustering, primary index, field",23,Database Constraints and Triggers,0.23467448190965207
3,"partitioning, partition, hash, partitioned, hash join, skew, processor, range partitioning",28,Database Scalability and Partitioning,0.5773619898728036
4,"bucket, hash, hashing, hash function, bucket address, overflow, hash value, record bucket",0,Introduction to Database Management Systems,0.0
5,"lock, item, data item, request, lock data, lock data item, lock item, locking",29,Data Quality Assurance and Data Cleansing,0.5222407697060649
6,"dbms, interface, ibm, application, software, user interface, tool, database",28,Database Scalability and Partitioning,0.21683455169932978
7,"node, leaf, tree, leaf node, root, entry, pointer, split",0,Introduction to Database Management Systems,0.0
8,"tuples, tuple, number tuples, tuples relation, set tuples, duplicate tuples, tuples tuples, tuple relation",0,Introduction to Database Management Systems,0.0
9,"conceptual, schema, design, conceptual schema, requirement, phase, database design, schema design",2,Database Design and Normalization,0.28523506467049814
10,"agrawal, srinivasan comp, srinivasan, chakrabarti, silberschatz, chamberlin, jennifer narayan ramesh, franklin wallace jennifer",0,Introduction to Database Management Systems,0.0
11,"join, outer join, outer, natural join, natural, join condition, join operation, condition",0,Introduction to Database Management Systems,0.0
12,"temporal, time, valid, valid time, temporal database, date time, interval, time slot",10,Time-Series and Geospatial Databases,0.45464751561838507
13,"spatial, map, geographic, spatial data, geographic data, location, spatial database, road",31,Geospatial and Temporal Databases,0.4033896183215632
14,"aggregate, aggregate function, group, aggregation, count, grouping, function, sum",0,Introduction to Database Management Systems,0.0
15,"calculus, relational calculus, algebra, relational algebra, relational, tuple relational, tuple relational calculus, domain relational calculus",1,Relational Database Model,0.33025381697646117
16,"image, multimedia, video, audio, multimedia database, multimedia source, audio data, clip",29,Data Quality Assurance and Data Cleansing,0.35657912243598505
17,"trigger, event, rule, active, action, triggering, active rule, statement level",0,Introduction to Database Management Systems,0.0
18,"schedule, serializable, serializability, serial, serial schedule, conflict, equivalent serial schedule, equivalent serial",0,Introduction to Database Management Systems,0.0
19,"undo, log, log record, undolist, redo, record, undo operation, abort",14,Database Auditing and Logging,0.3022081981993536
20,"encryption, encrypted, public, decryption, key, public key, private key, private",16,Data Compression and Encryption,0.39311002490448843
21,"replication, replica, replicated, subscriber, site, replica data, update, update replica",27,Distributed Databases and Replication,0.45702320647939354
22,"materialized, materialized view, view, view maintenance, maintenance, view materialized, index materialized, index materialized view",0,Introduction to Database Management Systems,0.0
23,"bitmap, bitmap index, bit, index, bit bitmap, complement, bitmap value, intersection",0,Introduction to Database Management Systems,0.0
24,"distributed database, distributed, autonomy, federated, heterogeneous, chapter distributed database, chapter distributed, centralized",27,Distributed Databases and Replication,0.708054393603371
25,"bibliographical, bibliographical note, note, reference, note reference, bibliographical note reference, bibliographic, bibliographic note",0,Introduction to Database Management Systems,0.0
26,"deadlock, detection, deadlock detection, prevention, deadlock prevention, deadlock deadlock, wait, waiting",0,Introduction to Database Management Systems,0.0
27,"xml, xml data, xml document, native, document, exchange, native xml, storage xml",18,NoSQL Databases: Document Stores,0.34380915128942424
28,"data model, model, object, object database, object oriented, oriented, relational, object relational",13,Multi-Model Databases,0.48398210317819146
29,"bcnf, decomposition, schema bcnf, relation bcnf, bcnf decomposition, dependency, normal form, normal",25,Database Migration and Schema Evolution,0.3176423806549445
30,"security, label, access control, policy, control, label security, flow, access",7,Database Security and Access Control,0.4964212770821539
31,"salary, salary instructor, instructor, instructor salary, dept, avg, avg salary, salary salary",0,Introduction to Database Management Systems,0.0
32,"dependency, functional dependency, functional, multivalued dependency, multivalued, dependency functional, dependency functional dependency, set functional",0,Introduction to Database Management Systems,0.0
33,"xsd, xsd element, xml, xml schema, element, type xsd, xsd string, type xsd string",25,Database Migration and Schema Evolution,0.3176423806549445
34,"predicate, datalog, rule, interpretation, prolog, superior, fact, inference mechanism",0,Introduction to Database Management Systems,0.0
35,"privilege, grant, revoke, authorization, granted, account, grant option, grant privilege",7,Database Security and Access Control,0.0965342640408357
36,"foreign key, foreign, key, primary key, primary, foreignkey, foreignkey constraint, key foreign",23,Database Constraints and Triggers,0.3455850392373139
37,"figure, example figure, figure example figure, figure example, example figure example, shown figure, shown, appears figure",0,Introduction to Database Management Systems,0.0
38,"reada, read, readb, writeq, writea, reada writea, readb writeb, writeb",0,Introduction to Database Management Systems,0.0
39,"concurrency, concurrency control, control, control recovery, concurrency control recovery, recovery, concurrency control distributed, control distributed",7,Database Security and Access Control,0.2551039633344846
40,"transaction processing, processing, transaction, concept transaction, concept, transaction management, transaction processing concept, processing concept",5,Transaction Management and ACID Properties,0.3493761264409865
41,"snapshot, snapshot isolation, isolation, mvcc, postgresql, isolation level, snapshotdata, transaction",5,Transaction Management and ACID Properties,0.22482806116538295
42,"warehouse, data warehouse, data, source, warehouse data, warehouse provide, data warehouse provide, multiple source",29,Data Quality Assurance and Data Cleansing,0.5222407697060649
43,"html, javascript, jsp, browser, scripting, code, input, scripting language",1,Relational Database Model,0.10078874713503898
44,"project, employee, employee work, name employee, work project, work, employee work project, retrieve",3,Querying Relational Databases,0.10098722091470684
45,"popularity, page, pagerank, ranking, link, web page, popularity ranking, spamming",0,Introduction to Database Management Systems,0.0
46,"log, stable storage, stable, log record, output stable, output stable storage, output, logging",14,Database Auditing and Logging,0.2658448099411736
47,"integrity, integrity constraint, constraint, referential integrity, referential, referential integrity constraint, constraint specified, integrity constraint specified",2,Database Design and Normalization,0.3063094681727007
48,"account, balance, bank, fund, transaction transfer, account balance, transfer, transfer account",5,Transaction Management and ACID Properties,0.12847317780879025
49,"order, sorting, sort, sorted, sort order, order clause, reorder, item",0,Introduction to Database Management Systems,0.0
50,"persistent, persistent object, object, transient, persistent pointer, pointer, object persistent, persistence",0,Introduction to Database Management Systems,0.0
51,"message, messaging, conversation, queue, persistent messaging, persistent, durable, durable queue",0,Introduction to Database Management Systems,0.0
52,"salary, average salary, employee, average, salary employee, salary department, department, employee salary",0,Introduction to Database Management Systems,0.0
53,"subqueries, subquery, nested, nested subqueries, nested query, correlated, nested subquery, outer query",3,Querying Relational Databases,0.5790822707065071
54,"mining, data mining, pattern, chapter data, data warehousing, warehousing, data warehousing mining, warehousing mining",8,Data Warehousing and Business Intelligence,0.3371916076966844
55,"advisor, student, instructor student, set advisor, relationship set, relationship set advisor, advisor relationship, instructor",6,Data Modeling and ER Diagrams,0.09922481925090243
