bucket_topic_number,bucket_topic,book_topic_number,book_topic,score
0,"network, packet, time, link",19,Software-Defined Networking (SDN),0.293820391056047
1,"fiber, cable, twisted, twisted pair",0,Introduction to Computer Networks,0.0
2,"dns, dns server, domain, query",7,DNS (Domain Name System),0.6008977470790484
3,"mail, mail server, user agent, email",2,Network Topologies and Architectures,0.10354308351039149
4,"cipher, ciphertext, block, encryption",22,Wireless Security,0.31659059049913324
5,"fig, shown fig, fig example, shown",0,Introduction to Computer Networks,0.0
6,"page, browser, web page, web",0,Introduction to Computer Networks,0.0
7,"ack, retransmit, duplicate, retransmission",0,Introduction to Computer Networks,0.0
8,"isps, isp, tier, access isps",10,Network Security and Threats,0.14050203874169237
9,"band, ghz, frequency, spectrum",0,Introduction to Computer Networks,0.0
10,"alice, bob, trudy, message alice",0,Introduction to Computer Networks,0.0
11,"telephone, telephone network, telephone company, company",19,Software-Defined Networking (SDN),0.293820391056047
12,"sdn, controller, plane, control plane",19,Software-Defined Networking (SDN),0.4510535624377789
13,"agent, foreign, home agent, mobile node",0,Introduction to Computer Networks,0.0
14,"copyright, privacy, law, court",12,VPN (Virtual Private Network),0.13637302499650192
15,"byte, length, header, field",0,Introduction to Computer Networks,0.0
16,"cache, caching, web cache, cached",0,Introduction to Computer Networks,0.0
17,"protocol, new protocol, protocol protocol, protocol work",12,VPN (Virtual Private Network),0.13637302499650192
18,"satellite, earth, communication satellite, orbit",0,Introduction to Computer Networks,0.29168138456566756
19,"reliable, reliable data, data transfer, reliable data transfer",13,Network Routing and Switching,0.31544838410775183
20,"important, detail, subtle, subtle important",0,Introduction to Computer Networks,0.0
21,"rfid, tag, reader, rfid tag",0,Introduction to Computer Networks,0.0
22,"mbps, gbps, mbps link, rate mbps",0,Introduction to Computer Networks,0.0
23,"cdn, cdn node, cdns, cluster",0,Introduction to Computer Networks,0.0
24,"sip, invite, invite message, registrar",0,Introduction to Computer Networks,0.0
25,"header, header line, line, response",0,Introduction to Computer Networks,0.0
26,"datagram, datagrams, ipv datagram, datagram host",0,Introduction to Computer Networks,0.0
27,"bucket, token, token bucket, leaky",0,Introduction to Computer Networks,0.0
28,"ethernet, classic ethernet, ethernet ethernet, classic",8,Ethernet and LAN Technologies,0.3775854262106298
29,"udp, tcp udp, udp tcp, protocol udp",5,TCP/IP Protocol Suite,0.2500782264621975
30,"mpeg, compression, video, audio",0,Introduction to Computer Networks,0.0
31,"rfc, rfcs, defined rfc, rfc rfc",19,Software-Defined Networking (SDN),0.47841454901715486
32,"subnet, subnets, subnet address, mask",0,Introduction to Computer Networks,0.0
33,"output port, port, input port, fabric",0,Introduction to Computer Networks,0.0
34,"ip address, ip, address, ip addressing",6,IP Addressing and Subnetting,0.47088676193325696
35,"firewall, filter, stateful, packet filter",0,Introduction to Computer Networks,0.0
36,"ssl, ssl record, record, tl",0,Introduction to Computer Networks,0.0
37,"key, bob, alice, public key",13,Network Routing and Switching,0.11541924034163432
38,"signature, digital signature, signed, digital",0,Introduction to Computer Networks,0.0
39,"parity, error, bit error, parity bit",0,Introduction to Computer Networks,0.0
40,"web, site, world wide web, wide web",12,VPN (Virtual Private Network),0.19286058149189814
41,"urity, web urity, url, urity urity",0,Introduction to Computer Networks,0.0
42,"multicast, group, multicasting, anycast",0,Introduction to Computer Networks,0.0
43,"university, engineering, science, professor",0,Introduction to Computer Networks,0.0
44,"skype, voice, video, conference",0,Introduction to Computer Networks,0.0
45,"radio, microwave, interference, antenna",0,Introduction to Computer Networks,0.0
46,"arp, arp query, arp table, mac address",0,Introduction to Computer Networks,0.0
47,"congestion, congestion control, control, congestion control algorithm",19,Software-Defined Networking (SDN),0.31894303267810326
48,"congestion window, window, slow start, slow",0,Introduction to Computer Networks,0.0
49,"data link, data link layer, link layer, frame",13,Network Routing and Switching,0.16449467666520357
50,"data center, center, data, data center network",13,Network Routing and Switching,0.318633526942411
51,"network layer network, layer network layer, layer network, network layer",4,Network Layers and the OSI Model,0.2143704428158554
52,"fragment, fragmentation, reassembly, fragment fragment",0,Introduction to Computer Networks,0.0
53,"cdma, cdma code, code division, code division multiple",20,Network Virtualization,0.1395137093196
54,"playout, video, block, freezing",0,Introduction to Computer Networks,0.0
55,"html, style, title, sheet",0,Introduction to Computer Networks,0.0
56,"service, transport, transport service, layer",16,Quality of Service (QoS),0.3892297678200734
57,"successor, node, finger, finger table",0,Introduction to Computer Networks,0.0
58,"section section, section section section, section, noted section additional",0,Introduction to Computer Networks,0.0
59,"distance vector, neighbor, vector, distance",0,Introduction to Computer Networks,0.0
60,"rtp, rtsp, rtcp, rtp packet",0,Introduction to Computer Networks,0.0
61,"frame, frame length, column, us column",0,Introduction to Computer Networks,0.0
62,"fdm, multiplexing, division, division multiplexing",0,Introduction to Computer Networks,0.0
63,"blah, iv blah blah, iv blah, fine iv blah",0,Introduction to Computer Networks,0.0
64,"technology, industry, growth, innovation",24,Emerging Trends in Networking,0.44186472074235156
65,"example figure, figure, figure example figure, figure example",0,Introduction to Computer Networks,0.0
66,"snr, modulation, noise, ratio",0,Introduction to Computer Networks,0.0
67,"certificate, ca, revoked, ra",0,Introduction to Computer Networks,0.0
68,"header, ip header, ipv, ipv header",5,TCP/IP Protocol Suite,0.46650238617079365
69,"wireless, wireless network, wireless link, network wireless",9,Wireless Networking,0.6385720514053652
70,"clock, get sends, sends get sends, sends get",0,Introduction to Computer Networks,0.0
71,"network network, network network network, network, cw net",19,Software-Defined Networking (SDN),0.293820391056047
72,"transportlayer segment, transportlayer, segment, transport layer",14,VLANs (Virtual LANs),0.1485942243309626
73,"window, window size, sliding window, sliding",0,Introduction to Computer Networks,0.0
74,"ipv, ipv ipv, ipv address, ip version",5,TCP/IP Protocol Suite,0.46650238617079365
75,"bgp, ebgp, ibgp, gateway",0,Introduction to Computer Networks,0.0
76,"bank, credit, credit card, card",0,Introduction to Computer Networks,0.0
77,"ospf, routing, routing protocol, linkstate",13,Network Routing and Switching,0.3871279009729205
78,"lan, lan lan, lan lan lan, lan figure",8,Ethernet and LAN Technologies,0.629309043684383
79,"mobile, mobile host, mobile ip, mobile node",5,TCP/IP Protocol Suite,0.46650238617079365
80,"application layer, layer application, application layer application, layer application layer",4,Network Layers and the OSI Model,0.14804915820031117
81,"propagation, propagation delay, delay, propagation speed",0,Introduction to Computer Networks,0.0
82,"standard, international, standardization, iso",0,Introduction to Computer Networks,0.0
83,"collision, detect collision, collide, node",0,Introduction to Computer Networks,0.0
84,"figure figure, figure figure figure, figure, figure let figure",0,Introduction to Computer Networks,0.0
85,"transport layer, transport layer transport, layer transport, transport",4,Network Layers and the OSI Model,0.14804915820031117
86,"delay, average, estimate, average delay",0,Introduction to Computer Networks,0.0
87,"network urity, urity, urity network, urity network urity",19,Software-Defined Networking (SDN),0.293820391056047
88,"network fig, network shown, graph, network figure",19,Software-Defined Networking (SDN),0.293820391056047
89,"send packet, packet, packet sends packet, packet sends",0,Introduction to Computer Networks,0.0
90,"netflix, cdn, video, kankan",0,Introduction to Computer Networks,0.0
91,"figure shown figure, figure shown, shown figure shown, shown figure",0,Introduction to Computer Networks,0.0
92,"xor, mod, arithmetic, modulo",0,Introduction to Computer Networks,0.0
93,"rtt, rtts, congestion window, increase",0,Introduction to Computer Networks,0.0
94,"rdt, protocol rdt, rdt protocol, rdtsend",0,Introduction to Computer Networks,0.0
95,"lost, duplicate, lost packet, packet lost",0,Introduction to Computer Networks,0.0
96,"streaming, medium, stored, video",0,Introduction to Computer Networks,0.0
97,"bluetooth, bluetooth bluetooth, bluetooth protocol, bluetooth network",9,Wireless Networking,0.10484808096492347
98,"dhcp, dhcp server, dhcp discover, dhcp client",2,Network Topologies and Architectures,0.14643203299032564
99,"mpls, mpls header, mpls network, ip packet",5,TCP/IP Protocol Suite,0.4179237897643433
100,"bittorrent, torrent, peer, tracker",2,Network Topologies and Architectures,0.20708616702078297
101,"nonpersistent, persistent, persistent connection, parallel",0,Introduction to Computer Networks,0.0
102,"vlan, vlans, vlan aware, switch",14,VLANs (Virtual LANs),0.22289133649644388
103,"flag, flag byte, stuffing, byte",0,Introduction to Computer Networks,0.0
104,"ap, aps, wireless device, beacon",9,Wireless Networking,0.6522252286861554
105,"wfq, priority, robin, round robin",0,Introduction to Computer Networks,0.0
106,"year, tom, tenure, government",0,Introduction to Computer Networks,0.0
107,"flow, bandwidth, fairness, max min",0,Introduction to Computer Networks,0.0
108,"al, et al, et, clark",0,Introduction to Computer Networks,0.0
109,"algorithm, nagle, converge, offered reward break",0,Introduction to Computer Networks,0.0
110,"ipsec, ipsec datagram, datagram, esp",0,Introduction to Computer Networks,0.0
111,"hamming, code, convolutional, reed",0,Introduction to Computer Networks,0.0
112,"port, port number, port reserved, number",0,Introduction to Computer Networks,0.0
