bucket_topic_number,bucket_topic,book_topic_number,book_topic,score
0,"network, packet, time, link, data, bit, tcp, router",1,Network Models and Protocols,0.35855817720902156
1,"fiber, cable, twisted, twisted pair, modem, pair, copper, adsl",0,Introduction to Computer Networks,0.0
2,"dns, dns server, domain, query, record, server, edu, hostname",7,DNS (Domain Name System),0.4906309559772164
3,"mail, mail server, user agent, email, smtp, agent, transfer, folder",2,Network Topologies and Architectures,0.10354308351039149
4,"cipher, ciphertext, block, encryption, plaintext, key, decryption, block cipher",22,Wireless Security,0.2238633534017905
5,"fig, shown fig, fig example, shown, example fig, listed fig, illustrated fig, illustrated",0,Introduction to Computer Networks,0.0
6,"page, browser, web page, web, plug, url, display, plug in",24,Emerging Trends in Networking,0.2734849900715167
7,"ack, retransmit, duplicate, retransmission, lost, segment, acks, timeout",14,VLANs (Virtual LANs),0.16613339333394275
8,"isps, isp, tier, access isps, tier isps, regional, provider, global transit",10,Network Security and Threats,0.14050203874169237
9,"band, ghz, frequency, spectrum, mhz, frequency band, spread, spread spectrum",0,Introduction to Computer Networks,0.0
10,"alice, bob, trudy, message alice, alice bob, message, talking, alice sends",0,Introduction to Computer Networks,0.0
11,"telephone, telephone network, telephone company, company, office, bell, end office, call",19,Software-Defined Networking (SDN),0.293820391056047
12,"sdn, controller, plane, control plane, sdn controller, control, openflow, sdn control",19,Software-Defined Networking (SDN),0.4510535624377789
13,"agent, foreign, home agent, mobile node, foreign agent, mobile, coa, home",0,Introduction to Computer Networks,0.0
14,"copyright, privacy, law, court, dmca, government, copyrighted, people",12,VPN (Virtual Private Network),0.13637302499650192
15,"byte, length, header, field, length field, variable length, field byte, payload",0,Introduction to Computer Networks,0.0
16,"cache, caching, web cache, cached, proxy, object, web, cached copy",0,Introduction to Computer Networks,0.0
17,"protocol, new protocol, protocol protocol, protocol work, protocol simple, protocol handle, problem protocol, use protocol",12,VPN (Virtual Private Network),0.10205941215334861
18,"satellite, earth, communication satellite, orbit, communication, altitude, ground, orbit satellite",0,Introduction to Computer Networks,0.29168138456566756
19,"reliable, reliable data, data transfer, reliable data transfer, transfer, service, provides reliable, unreliable",13,Network Routing and Switching,0.28400622446150203
20,"important, detail, subtle, subtle important, simplicity, distinction, practice, important subtlety",0,Introduction to Computer Networks,0.0
21,"rfid, tag, reader, rfid tag, rfid reader, epc, backscatter, identifier",0,Introduction to Computer Networks,0.0
22,"mbps, gbps, mbps link, rate mbps, mbps mbps, rate, link, link mbps",0,Introduction to Computer Networks,0.0
23,"cdn, cdn node, cdns, cluster, content, sydney, cdn server, akamai",2,Network Topologies and Architectures,0.10354308351039149
24,"sip, invite, invite message, registrar, sip message, proxy, bob, yes",0,Introduction to Computer Networks,0.0
25,"header, header line, line, response, request message, http, message, response message",0,Introduction to Computer Networks,0.0
26,"datagram, datagrams, ipv datagram, datagram host, ipv, destination, ip datagram, send datagram",5,TCP/IP Protocol Suite,0.46650238617079365
27,"bucket, token, token bucket, leaky, leaky bucket, water, burst, rate",0,Introduction to Computer Networks,0.0
28,"ethernet, classic ethernet, ethernet ethernet, classic, switched ethernet, switched, fddi, ethernet card",8,Ethernet and LAN Technologies,0.3775854262106298
29,"udp, tcp udp, udp tcp, protocol udp, connectionless, transport protocol, transport protocol udp, transport",5,TCP/IP Protocol Suite,0.22992083947226372
30,"mpeg, compression, video, audio, mp, video compression, compress, quality",16,Quality of Service (QoS),0.223450065711979
31,"rfc, rfcs, defined rfc, rfc rfc, described rfc, defined, described, rfc rfc rfc",19,Software-Defined Networking (SDN),0.47841454901715486
32,"subnet, subnets, subnet address, mask, subnet mask, prefix, support interface, address form",0,Introduction to Computer Networks,0.0
