Bucket Number,Bucket
-1,"network, packet, time, link"
0,"fiber, cable, twisted, twisted pair"
1,"dns, dns server, domain, query"
2,"mail, mail server, user agent, email"
3,"cipher, ciphertext, block, encryption"
4,"fig, shown fig, fig example, shown"
5,"page, browser, web page, web"
6,"ack, retransmit, duplicate, retransmission"
7,"isps, isp, tier, access isps"
8,"band, ghz, frequency, spectrum"
9,"alice, bob, trudy, message alice"
10,"telephone, telephone network, telephone company, company"
11,"sdn, controller, plane, control plane"
12,"agent, foreign, home agent, mobile node"
13,"copyright, privacy, law, court"
14,"byte, length, header, field"
15,"cache, caching, web cache, cached"
16,"protocol, new protocol, protocol protocol, protocol work"
17,"satellite, earth, communication satellite, orbit"
18,"reliable, reliable data, data transfer, reliable data transfer"
19,"important, detail, subtle, subtle important"
20,"rfid, tag, reader, rfid tag"
21,"mbps, gbps, mbps link, rate mbps"
22,"cdn, cdn node, cdns, cluster"
23,"sip, invite, invite message, registrar"
24,"header, header line, line, response"
25,"datagram, datagrams, ipv datagram, datagram host"
26,"bucket, token, token bucket, leaky"
27,"ethernet, classic ethernet, ethernet ethernet, classic"
28,"udp, tcp udp, udp tcp, protocol udp"
29,"mpeg, compression, video, audio"
30,"rfc, rfcs, defined rfc, rfc rfc"
31,"subnet, subnets, subnet address, mask"
32,"output port, port, input port, fabric"
33,"ip address, ip, address, ip addressing"
34,"firewall, filter, stateful, packet filter"
35,"ssl, ssl record, record, tl"
36,"key, bob, alice, public key"
37,"signature, digital signature, signed, digital"
38,"parity, error, bit error, parity bit"
39,"web, site, world wide web, wide web"
40,"urity, web urity, url, urity urity"
41,"multicast, group, multicasting, anycast"
42,"university, engineering, science, professor"
43,"skype, voice, video, conference"
44,"radio, microwave, interference, antenna"
45,"arp, arp query, arp table, mac address"
46,"congestion, congestion control, control, congestion control algorithm"
47,"congestion window, window, slow start, slow"
48,"data link, data link layer, link layer, frame"
49,"data center, center, data, data center network"
50,"network layer network, layer network layer, layer network, network layer"
51,"fragment, fragmentation, reassembly, fragment fragment"
52,"cdma, cdma code, code division, code division multiple"
53,"playout, video, block, freezing"
54,"html, style, title, sheet"
55,"service, transport, transport service, layer"
56,"successor, node, finger, finger table"
57,"section section, section section section, section, noted section additional"
58,"distance vector, neighbor, vector, distance"
59,"rtp, rtsp, rtcp, rtp packet"
60,"frame, frame length, column, us column"
61,"fdm, multiplexing, division, division multiplexing"
62,"blah, iv blah blah, iv blah, fine iv blah"
63,"technology, industry, growth, innovation"
64,"example figure, figure, figure example figure, figure example"
65,"snr, modulation, noise, ratio"
66,"certificate, ca, revoked, ra"
67,"header, ip header, ipv, ipv header"
68,"wireless, wireless network, wireless link, network wireless"
69,"clock, get sends, sends get sends, sends get"
70,"network network, network network network, network, cw net"
71,"transportlayer segment, transportlayer, segment, transport layer"
72,"window, window size, sliding window, sliding"
73,"ipv, ipv ipv, ipv address, ip version"
74,"bgp, ebgp, ibgp, gateway"
75,"bank, credit, credit card, card"
76,"ospf, routing, routing protocol, linkstate"
77,"lan, lan lan, lan lan lan, lan figure"
78,"mobile, mobile host, mobile ip, mobile node"
79,"application layer, layer application, application layer application, layer application layer"
80,"propagation, propagation delay, delay, propagation speed"
81,"standard, international, standardization, iso"
82,"collision, detect collision, collide, node"
83,"figure figure, figure figure figure, figure, figure let figure"
84,"transport layer, transport layer transport, layer transport, transport"
85,"delay, average, estimate, average delay"
86,"network urity, urity, urity network, urity network urity"
87,"network fig, network shown, graph, network figure"
88,"send packet, packet, packet sends packet, packet sends"
89,"netflix, cdn, video, kankan"
90,"figure shown figure, figure shown, shown figure shown, shown figure"
91,"xor, mod, arithmetic, modulo"
92,"rtt, rtts, congestion window, increase"
93,"rdt, protocol rdt, rdt protocol, rdtsend"
94,"lost, duplicate, lost packet, packet lost"
95,"streaming, medium, stored, video"
96,"bluetooth, bluetooth bluetooth, bluetooth protocol, bluetooth network"
97,"dhcp, dhcp server, dhcp discover, dhcp client"
98,"mpls, mpls header, mpls network, ip packet"
99,"bittorrent, torrent, peer, tracker"
100,"nonpersistent, persistent, persistent connection, parallel"
101,"vlan, vlans, vlan aware, switch"
102,"flag, flag byte, stuffing, byte"
103,"ap, aps, wireless device, beacon"
104,"wfq, priority, robin, round robin"
105,"year, tom, tenure, government"
106,"flow, bandwidth, fairness, max min"
107,"al, et al, et, clark"
108,"algorithm, nagle, converge, offered reward break"
109,"ipsec, ipsec datagram, datagram, esp"
110,"hamming, code, convolutional, reed"
111,"port, port number, port reserved, number"
112,"cookie, amazon, susans, cookie header"
113,"solution, problem, solve, problem problem"
114,"nat, nat box, box, translation"
115,"voip, voice ip, voice, voip application"
116,"address, address space, address address, space"
117,"virtual circuit, virtual, circuit, virtual circuit network"
118,"segment, lost segment, segment arrive, suppose segment"
119,"sequence number, sequence, bit sequence number, number"
120,"bandwidth, network bandwidth, bandwidth efficiently, higher class"
121,"queuing delay, queuing, delay, queueing"
122,"alice isp, alice, isp, bob"
123,"service, class service, besteffort, class"
124,"checksum, sum, complement, internet checksum"
125,"rsa, rsa algorithm, algorithm, public key"
126,"faster, efficiency, performance, improve performance"
127,"csma, csma cd, cd, collision"
128,"source port, port, port number, source port number"
129,"physical layer, physical, layer physical layer, layer physical"
130,"router, router router, natenabled, natenabled router"
131,"access control sublayer, control sublayer, medium access control, medium access"
132,"congestion control, tcp congestion control, congestion, tcp congestion"
133,"quantization, sample, quantized, dct"
134,"data link, data link layer, link layer data, link layer"
135,"sequence number, initial sequence number, initial sequence, sequence"
136,"wireless lan, lan, wireless, ieee"
137,"http, http protocol, hypertext transfer protocol, hypertext transfer"
138,"flow table, flow table entry, table, flow"
139,"stack, protocol stack, protocol, layer protocol stack"
140,"acknowledgement, acknowledgement frame, frame, frame received"
141,"routing algorithm, routing, algorithm, way classify routing"
142,"urity, encryption, encrypted, encrypt"
143,"jitter, called jitter, network jitter, delay jitter"
144,"base station, base, station, cell"
145,"php, javascript, script, cgi"
146,"prefix, longest, matching, longest prefix"
147,"step, figure step, shown step, step step"
148,"hub, hub switch, switch, switch hub"
149,"buffer, buffer size, buffering, buffer management"
150,"authentication server, authentication, ap, wireless client"
151,"release, released, connection, connection released"
152,"applet, activex, java, activex control"
153,"telnet, telnet session, telnet connection, gateway"
154,"cellular, cellular network, lte, network architecture"
155,"ieee, acm, standard ieee, ieee ieee"
156,"icmp, icmp message, ping, echo"
157,"arpanet, arpa, robert, research"
158,"sender, sends message, sends message sends, message sends message"
159,"qos, guarantee, qos guarantee, flow"
160,"book, chapter, author, reference"
161,"cost, link cost, cost change, link"
162,"virus, malware, worm, malicious"
163,"msc, anchor msc, visited, anchor"
164,"queue, queued, queue packet, transmission packet"
165,"checksum, pseudoheader, udp, header"
166,"tree, spanning tree, spanning, sink"
167,"forwarding table, forwarding, table, router forwarding table"
168,"syn, syn segment, segment, syn flood"
169,"traceroute, traceroute program, traceroutes, trace"
170,"dtn, bundle, dtn node, dtns"
171,"sequence number, sequence, packet sequence, packet sequence number"
172,"request, request reply, response, response message"
173,"snmp, managing, managing server, managed device"
174,"tion, tions, following tions, tion look"
175,"transportlayer protocol, transport protocol, transportlayer, transport"
176,"mobile web, mobile, web, mobile device"
177,"interconnected, collection, network network, internet"
178,"section recall, recall, recall section, recall section recall"
179,"switching, circuit switching, packet switching, circuit"
180,"pixel, color, image, rgb"
181,"channel, signaling, channel allocation, signaling channel"
182,"udpclient, py, serverport, clientsocket"
183,"gigabit, gigabit ethernet, ethernet, fast ethernet"
184,"ct, rts, rts ct, ct frame"
185,"timer, tick, timer expires, reset"
186,"table, column table, column, note table"
187,"input bit, output bit, bit output, output"
188,"client server, client, client code, clientserver application"
189,"tunnel, tunneling, ipv, paris"
190,"ppp, aal, ppp frame, sonet"
191,"crc, crc code, polynomial, cyclic redundancy check"
192,"vpn, private network, virtual private, virtual private network"
193,"procedure, stub, server procedure, remote procedure"
194,"tcp sender, loss, rate, congestion"
195,"switch, linklayer switch, packet switch, linklayer"
196,"country, france, boston ma, sept"
197,"station, suppose station, numbered station, transmitting station"
198,"bridge, frame port, port, port bridge"
199,"timeout, timeouts, timeout interval, timeout event"
200,"playout, playout delay, talk spurt, spurt"
201,"mac address, mac, adapter, address adapter"
202,"wimax, mobile wimax, wimax network, known wimax"
203,"source, destination, router advertisement, outgoing line"
204,"data rate, rate, overhead, rate adaptation"
205,"encoding, ascii, encoded, ascii character"
206,"sequence number, window, sequence, number"
207,"downstream, upstream, mbps downstream, upstream downstream"
208,"sha, hash, hash algorithm, cryptographic hash"
209,"quality service, quality, service, based quality"
210,"collision, probability collision, equal probability collision, collision chosen"
211,"mac address, mac, address field, address"
212,"fsm, fsm description, description, fsm figure"
213,"frame, bit frame, bit, error"
214,"vlr, hlr, visited network, visited"
215,"authentication, authentication protocol, authorization, simple authentication"
216,"communication, communication possible, communicate, communication people"
217,"spam, mail, spammer, junk"
218,"tcp, tcp implementation, tcp us, ip product"
219,"forwarding, generalized forwarding, generalized, assured forwarding"
220,"access protocol, multiple access, multiple access protocol, random access"
221,"connection, connection establishment, establishment, establishing connection"
222,"case, case case, consider case, case likely"
223,"hot potato, potato, hot potato routing, potato routing"
224,"tcp ip, model, ip model, tcp ip model"
225,"modem, cable modem, minislots, minislot"
226,"application buffer, client application, client application buffer, buffer"
227,"web server, web, companion website, website"
228,"audio, low, high low, audio http"
229,"envelope, body, smtp, header"
230,"label, flow label, path label, different label"
231,"samplertt, estimatedrtt, samplertt value, value"
232,"consider figure, figure consider figure, consider figure consider, figure consider"
233,"aloha, slotted aloha, slotted, efficiency slotted aloha"
234,"handoff, base station, base, station"
235,"ipv datagram, datagram format, ipv, ipv datagram format"
236,"attack, bad guy, guy, security"
237,"xml, xhtml, html, language"
238,"data sent, data transmitted, transmit data, data"
239,"gsm, mobile phone, phone, europe"
240,"file, large file, file host, host sending"
241,"congested link, share, bandwidth, equal"
242,"flooding, flood, link state update, state update"
243,"handshake, threeway, way handshake, threeway handshake"
244,"discus, discus discus, ter discus, tion discus"
245,"ad hoc, hoc, ad, ad hoc network"
246,"shortest path, shortest, path, compute shortest path"
247,"probability, slot, probability node, slot probability"
248,"burst, burst error, burst length, error"
249,"form, post, method, post method"
250,"example let, example let look, let look, look example"
251,"host host, host, channel host, channel host host"
252,"message, message message, want reply message, want reply"
253,"idle, channel idle, idle station, channel idle station"
254,"public key, public, key, key ring"
255,"chip sequence, chip, sequence, chip sequence station"
256,"illustrated figure, illustrated, figure illustrated figure, figure illustrated"
257,"capacity receiver, sender, receiver, rate"
258,"procedure, parameter, procedure described section, procedure described"
