Bucket Number,Bucket
-1,"network, packet, time, link, data, bit, tcp, router, connection, layer"
0,"fiber, cable, twisted, twisted pair, modem, pair, copper, adsl, optical, wire"
1,"dns, dns server, domain, query, record, server, edu, hostname, com, authoritative"
2,"mail, mail server, user agent, email, smtp, agent, transfer, folder, mailbox, user"
3,"cipher, ciphertext, block, encryption, plaintext, key, decryption, block cipher, de, aes"
4,"fig, shown fig, fig example, shown, example fig, listed fig, illustrated fig, illustrated, listed, fig shown"
5,"page, browser, web page, web, plug, url, display, plug in, in, html"
6,"ack, retransmit, duplicate, retransmission, lost, segment, acks, timeout, retransmissions, duplicate acks"
7,"isps, isp, tier, access isps, tier isps, regional, provider, global transit, access isp, backbone"
8,"band, ghz, frequency, spectrum, mhz, frequency band, spread, spread spectrum, ism, ism band"
9,"alice, bob, trudy, message alice, alice bob, message, talking, alice sends, message bob, suppose alice"
10,"telephone, telephone network, telephone company, company, office, bell, end office, call, switched telephone, voice"
11,"sdn, controller, plane, control plane, sdn controller, control, openflow, sdn control, opendaylight, networkcontrol"
12,"agent, foreign, home agent, mobile node, foreign agent, mobile, coa, home, foreign network, node"
13,"copyright, privacy, law, court, dmca, government, copyrighted, people, music, citizen"
14,"byte, length, header, field, length field, variable length, field byte, payload, header byte, option"
15,"cache, caching, web cache, cached, proxy, object, web, cached copy, browser, copy"
16,"protocol, new protocol, protocol protocol, protocol work, protocol simple, protocol handle, problem protocol, use protocol, network protocol, protocol word"
17,"satellite, earth, communication satellite, orbit, communication, altitude, ground, orbit satellite, leo, satellite satellite"
18,"reliable, reliable data, data transfer, reliable data transfer, transfer, service, provides reliable, unreliable, delivery, data transfer service"
19,"important, detail, subtle, subtle important, simplicity, distinction, practice, important subtlety, practice important, unfortunately"
20,"rfid, tag, reader, rfid tag, rfid reader, epc, backscatter, identifier, reader tag, gen"
21,"mbps, gbps, mbps link, rate mbps, mbps mbps, rate, link, link mbps, oc, data rate"
22,"cdn, cdn node, cdns, cluster, content, sydney, cdn server, akamai, node, ldns"
23,"sip, invite, invite message, registrar, sip message, proxy, bob, yes, sends invite message, sip device"
24,"header, header line, line, response, request message, http, message, response message, mime, http message"
25,"datagram, datagrams, ipv datagram, datagram host, ipv, destination, ip datagram, send datagram, nat router, ip"
26,"bucket, token, token bucket, leaky, leaky bucket, water, burst, rate, policer, bucket policer"
27,"ethernet, classic ethernet, ethernet ethernet, classic, switched ethernet, switched, fddi, ethernet card, lan, technology"
28,"udp, tcp udp, udp tcp, protocol udp, connectionless, transport protocol, transport protocol udp, transport, udp internet, tcp"
29,"mpeg, compression, video, audio, mp, video compression, compress, quality, mpeg standard, mpeg mpeg"
