bucket_topic_number,bucket_topic,book_topic_number,book_topic,score
0,"process, page, memory, user, thread, file, data, operating",0,Introduction to Operating Systems,0.35037354874305693
1,"cache, caching, cached, buffer cache, cache manager, cache line, cache block, page cache",15,Distributed File Systems,0.21646853038205274
2,"interrupt, interrupt handler, handler, interrupt vector, vector, interrupt interrupt, interrupt controller, routine",11,I/O Systems and Device Management,0.36204606515595944
3,"window, win, api, window window, version window, microsoft, win api, vista",28,System Calls and API,0.2587794762038064
4,"deadlock, deadlocked, deadlock occur, resource deadlock, deadlock detection, resource, detection, occur",6,Deadlocks and Deadlock Handling,0.3540611936256293
5,"block, block file, free block, file block, disk block, block size, free, indirect block",9,File Systems and Storage Management,0.6182918413544803
6,"driver, device driver, device, driver object, driver device, window driver, device object, wdm",11,I/O Systems and Device Management,0.6456086634917768
7,"virtualization, virtual machine, machine, virtual, virtualized, hardware, support virtualization, environment",22,Virtualization and Hypervisors,0.5481235845513676
8,"security, attack, attacker, vulnerability, defense, exploit, security chap, bug",20,System Security Measures,0.552890618992904
9,"resource, available resource, resource process, release resource, resource available, instance resource, resource type, resource resource",0,Introduction to Operating Systems,0.2437749614465832
10,"boot, partition, boot time, loader, bootstrap, boot loader, bios, booting",27,System Boot and Initialization,0.4210592522237839
11,"virus, antivirus, infect, infected, antivirus program, antivirus software, virus virus, program virus",3,Processes and Threads,0.35478207893189223
12,"key, encryption, cryptography, decryption, public key, encryption algorithm, public, cipher",19,Security and Protection in Operating Systems,0.32952003862047563
13,"buffer, buffering, copy, copying, kernel buffer, buffer buffer, copy write, user space",1,Operating System Structures and Components,0.3268353061271172
14,"power, battery, energy, power management, consumption, power consumption, power manager, management",0,Introduction to Operating Systems,0.45734416805343736
15,"tlb, miss, tlb entry, tlb miss, tlbs, entry, entry tlb, translation",0,Introduction to Operating Systems,0.0
16,"password, password file, salt, encrypted password, onetime password, onetime, encrypted, login",9,File Systems and Storage Management,0.7575312657593908
17,"nevilleneil, saltzer, ellen, herlihy, kurose, brinchhansen, hruby, zhang",0,Introduction to Operating Systems,0.0
18,"offset, page number, page table, page, address, virtual address, page directory, page offset",8,Memory Management: Virtual Memory,0.30752351402348854
19,"printer, print, output, printed, spooling, plotter, printing, spooler",11,I/O Systems and Device Management,0.09051151628898986
20,"mutex, pthread mutex, pthread, mutex lock, lock, mutex pthread, unlock, lock mutex",0,Introduction to Operating Systems,0.0
21,"semaphore, sem, semaphore semaphore, value semaphore, semaphore operation, value, semaphore value, wait",0,Introduction to Operating Systems,0.0
22,"operating system, operating, system, embedded system, system operating, embedded, system operating system, operating system operating",28,System Calls and API,0.31327447503361827
23,"raid, raid level, level, drive, level raid, parity, raid level raid, level raid level",12,Mass Storage Structures,0.33196727896266964
24,"overflow, attacker, attack, buffer overflow, return address, aslr, canary, buffer",0,Introduction to Operating Systems,0.0
25,"memory management, management, memory management chap, management chap, memory, management chap memory, chap memory, chap memory management",7,Memory Management: Early Systems,0.5698067424077198
26,"problem, solution, solution problem, solved, problem solved, approach, exercise, solution exercise",0,Introduction to Operating Systems,0.0
27,"bit, bit bit, bit word, integer, bit count, word, count, bit set",0,Introduction to Operating Systems,0.0
28,"nfs, nfs protocol, nfs server, network file, nfs version, protocol, file nfs, remote",15,Distributed File Systems,0.5856931762306976
29,"producer, consumer, item, buffer, producer consumer, item buffer, count, remove",0,Introduction to Operating Systems,0.0
30,"fork, child, exec, process fork, parent, new process, shell, child process",0,Introduction to Operating Systems,0.3135069244399154
31,"tape, tape drive, card, card reader, magnetic tape, magnetic, drive, bluray",0,Introduction to Operating Systems,0.0
32,"open, open file, opened, close, file opened, open close, file, process open",9,File Systems and Storage Management,0.7135815047832202
33,"inode, inode number, inodes, file inode, directory, file inode number, number, inode structure",9,File Systems and Storage Management,0.5800696079273684
34,"virtual memory, virtual, memory, memory virtual, memory virtual memory, physical memory, memory management, chapter virtual memory",8,Memory Management: Virtual Memory,0.6417450442912231
35,"quantum, time quantum, time, millisecond, msec, quantum millisecond, quantum expires, quantum process",23,Real-Time and Embedded Systems,0.4793952753892571
36,"mobile, io, mobile device, smartphones, tablet, macos, phone, macos io",11,I/O Systems and Device Management,0.26287658203174036
37,"shared memory, sharedmemory, shared, sharedmemory object, share memory, memory shared, memory, share",16,Distributed Shared Memory,0.6250002713097036
38,"bsd, freebsd, bsd unix, mach, berkeley, bsd kernel, bsd bsd, unix",1,Operating System Structures and Components,0.30601423989217824
39,"dma, dma controller, controller, transfer, dma transfer, dma channel, dma chip, bus",0,Introduction to Operating Systems,0.0
40,"instruction, instruction set, privileged, sensitive, privileged instruction, sensitive instruction, execute, instruction execute",23,Real-Time and Embedded Systems,0.2919429573966913
41,"memorymapped, memorymapped file, mapped, mapped file, mapping, map file, map, memory memorymapped",9,File Systems and Storage Management,0.6559193915058052
42,"pagereplacement, replacement, pagereplacement algorithm, page replacement, algorithm, replacement algorithm, lru, page replacement algorithm",8,Memory Management: Virtual Memory,0.33766345727537583
43,"vmware, vmware workstation, esx, workstation, esx server, host operating, vmx, host",26,Case Study: Android Operating System,0.16935186540367633
44,"physical address, address, logical address, logical, physical, virtual address, address logical address, address physical address",22,Virtualization and Hypervisors,0.21369630918392413
45,"clock, timer, tick, clock tick, watchdog, clock timer, time signal, clock driver",23,Real-Time and Embedded Systems,0.5205992294365145
46,"userlevel thread, userlevel, kernel thread, kernellevel, kernellevel thread, thread, thread kernel, thread user",1,Operating System Structures and Components,0.41056118548910314
47,"parallelism, parallel, core, concurrency, run parallel, multicore, task parallelism, concurrent",23,Real-Time and Embedded Systems,0.1103440660411957
48,"priority, priority thread, thread priority, priority class, boost, class, thread, highest",5,CPU Scheduling,0.2776435917374666
49,"fault, page fault, page, fault occurs, page fault occurs, occurs, instruction, fault occur",8,Memory Management: Virtual Memory,0.23876412039831232
50,"owner, group, owner group, protection, access, access file, permission, access control",19,Security and Protection in Operating Systems,0.5574167304764673
51,"signal, signal handler, signal sent, process group, handler, signalhandling, signal sent process, kill",0,Introduction to Operating Systems,0.3135069244399154
52,"pool, thread pool, executor, java, thread, runnable, executorservice, java thread",0,Introduction to Operating Systems,0.0
